bssid	lat	lon
64680C08ECF2	40.475366774221	-3.5818242877749
DC0B1A98AA82	40.474994804633	-3.58167389263
00222D027334	40.473589853956	-3.579974155008
00147FDDAA2D	40.473014477498	-3.5786418935477
BC7670C8F4C0	40.473259387468	-3.579132410814
0023F8CE004A	40.475134837889	-3.5816353789401
001A2B639568	40.475826166531	-3.5825466658054
7C4FB51884DC	40.475815294228	-3.5825466378088
F81A67323298	40.473692921131	-3.5798709168258
404A03C5E309	40.472737320227	-3.5788353225583
849CA67AD7F0	40.472764978176	-3.5785186212189
38834535CB0A	40.472858856775	-3.5783755382733
404A03D8B772	40.474474193367	-3.5811123346598
507E5D32F2B6	40.472923786801	-3.5783894804485
7C4FB5280E2D	40.472968048104	-3.578512418144
6416F0573B3A	40.472978999675	-3.5784945737417
24DBAC483BFE	40.474578135408	-3.5811343238807
0023F8C88BEC	40.474554061691	-3.5811238819834
404A03B68CDF	40.473079954037	-3.5787413955506
74317011B0BB	40.473481619664	-3.5795306046892
4CEDDEFBD471	40.473140103931	-3.5780279065113
8C0CA328793E	40.475414229369	-3.5824707472507
00A0267EFB08	40.475201100097	-3.5816282069531
62A8E44B9E40	40.472798596938	-3.5785530704118
507E5D46EDCC	40.475371643716	-3.5819196007839
ACE87B2EB14C	40.4734656828	-3.5795117716923
00240142175F	40.473306764227	-3.5778907193739
00264D1A4242	40.472923152007	-3.5783270246246
8C0CA3200A3E	40.472733655394	-3.578916277679
404D8EFE8D0C	40.474416572843	-3.5809438805654
507E5D8A6DC9	40.475234565061	-3.5816965056396
001A2B0E1A05	40.473065716417	-3.5787044581557
3872C0A7EA43	40.47479490102	-3.5813245070695
00065AC076CA	40.494859439123	-3.5918891788981
C0AC5402A4C0	40.475654245881	-3.5825296181902
0019706EB715	40.473312312997	-3.579288165294
001915CA4628	40.473577702444	-3.5797440164747
88252C925D46	40.475578828544	-3.5822771912777
3872C0D030E5	40.472831400327	-3.5785179277956
64680C8E10C2	40.474330830818	-3.5809747760833
62E87B1B0FC8	40.472940949166	-3.5783021707739
D0AEECF71954	40.474772120271	-3.5813208843107
0019708A3C59	40.474941014296	-3.5813680617343
001349B2CF73	40.473941936264	-3.5803985857471
001A2B900E12	40.472834983018	-3.5787137152904
001970684AAE	40.475436495114	-3.5822408424367
78F5FDF12EEF	40.472905530316	-3.5785139451268
C0AC540058D1	40.472839618633	-3.5788879771919
00A0267F3744	40.472880310761	-3.5783432796551
001A2B8ED38D	40.475834268031	-3.5825504588122
001BB105E153	40.47287280739	-3.5783477574387
001638C8EB94	40.47547215211	-3.5820103550194
001A2B04D6C1	40.47344062149	-3.5794725940375
6253D4BA7AB4	40.474009571977	-3.5806383069747
00197057FBC9	40.475272804865	-3.5817478689867
021599B4CD7D	40.47307061405	-3.5780862089599
64680C4A223A	40.474554332777	-3.5811235829447
001970658079	40.473360172362	-3.5792956878037
ACE87B3017F0	40.472702111869	-3.5788845814829
001970893BB9	40.472867114418	-3.5785382695475
C0AC54001A72	40.475836138301	-3.5825463332421
404A039B92CE	40.475754861167	-3.5825496772978
5067F0ACB53B	40.474037725086	-3.5805399573952
0023F8AF811C	40.47463325019	-3.5812305144785
64680C9706AE	40.472718115337	-3.5788696063116
30E4DB8C0AC9	40.472774761266	-3.5787563009245
743170821014	40.474793093152	-3.5813295779869
B0B2DCFB2C13	40.472851084595	-3.5787294270205
2202AF21D39C	40.472756482778	-3.5789160404841
A4526FDCD0A2	40.473931922396	-3.5804511680674
00065A403D4A	40.494967911761	-3.5919500162914
F88E8503B9BD	40.475599994323	-3.5823219479379
88252C8B623D	40.472752457269	-3.5789002930674
001A2B8FD1FD	40.475835262623	-3.5825464368788
F43E618BE115	40.473324509029	-3.5793056594966
3872C0BE7B5B	40.475834268031	-3.5825504588122
5C338EE22B22	40.473143326576	-3.5789481396729
74888BA08F81	40.474047624237	-3.5805576115538
64680C2C04E3	40.474864022057	-3.581331457683
849CA61E483D	40.473940825953	-3.580516952134
0002CFA7B3F0	40.474204540554	-3.5808427652441
7C4FB518AF22	40.474830728037	-3.5813146174475
E0915324BCEF	40.475626344291	-3.5822845588385
849CA647B17A	40.472880310761	-3.5783432796551
